职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址 
平面设计师,广东逛周边科技有限公司,3.5-7千/月,,中山|无工作经验|大专|招1人|03-13发布|普通话良好,1、负责网站、管理平台、APP等端的界面设计；中山市东区博爱五路1号顺景商业中心20楼广东逛周边科技有限公司民营公司50-150人,平面设计师,中山市东区博爱五路1号顺景商业中心20楼
技术支持/助理,深圳市共进宏图贸易有限公司,4.5-5千/月,,广州|无工作经验|大专|招3人|03-13发布,岗位职责：1、熟悉公司现有全系列产品，对公司产品应用有较深了解；2、解决客户日常使用产品时的问题，包括产品硬件、软件安装调试，故障排除，日常维护建议等；3、配合销售人员根据客户需求为客户提供相应的产品技术参数、产品性能、产品操作等方面的培训和支持工作；4、解答客户提出的技术问题，解决现场的安装、调试问题；任职要求：1、大专以上学历，计算机、电子信息工程、自动化、通信等相关专业；2、1年以上IT行业技术维护工作经验，熟悉局域网、广域网计算机网络结构；3、熟悉网络相关知识，掌握一定的网络相关技术和异常问题判断、处理技能；4、具有较强的分析和解决问题的能力、动手能力和应变能力，良好的沟通能力；5、具有良好的团队合作和服务意识；诚信正直，责任感强。广州市深圳市共进宏图贸易有限公司民营公司50-150人,结构/土木/土建工程师智能大厦/综合布线/安防/弱电技术支持,广州市
助理设计师（实习）,广州市共量艺术设计顾问有限公司,3-4.5千/月,五险大小周专业培训餐饮补贴弹性工作定期体检项目提成住房补贴,广州-海珠区|无工作经验|大专|招若干人|03-13发布,1、要求大专以上学历，能熟练操作CAD、2、对材料、工艺、电气、施工有一定了解；4、有良好的沟通、分析、把握应变能力；对未来工作有冲劲、有明确目标；5、具备强烈的时间观念，责任心、品行端正、做事谦虚谨慎，善于学习，较强的团队精神；6、有良好的美学基础；7、平面设计软件基础的优先录取；8、实习期间，可享受公司正式员工待遇如：旅行聚会福利补贴（全免费参与）；福利待遇：1、提供具有行业竞争力的薪酬；2、公司按照国家法律及政策规定为您缴纳社会保险（公司除了法定社会保险外，为员工购买重大疾病险、补充医疗险及团体意外险）；3、各种节假日福利（福利种类不定）、员工婚育疾病礼金、员工年度体检及各种文康活动等；4、入职满一年后可享有带薪年假5、国家法定假日按国家规定执行，其它假别按公司《考勤及假期管理规定》执行。联系方式：广州市海珠区广州大道南1601-1603号洋湾创投小镇B区首层B08房（行政中心旁）广州市共量艺术设计顾问有限公司创业公司少于50人,室内设计展览/展示/店面设计室内设计空间设计施工图效果图绘图员工装家装,广州市海珠区广州大道南1601-1603号洋湾创投小镇B区首层B08房（行政中心旁）
销售代表,广州奥盛电子科技有限公司,6-8千/月,,广州-天河区|无工作经验|大专|招8人|03-13发布,1、收集反馈区域内市场、客户及竞争对手信息，定期市场总结并制定相应的攻坚计划；2、定期维护区域内现有渠道，跟进解决客户反馈的问题；3、依据公司整体销售计划，开发新的销售渠道（代理商、分销商）；4、配合部门执行促销、展会等活动；5、参与团队培训学习活动，提升商业谈判、成交、总结能力。。龙洞迎龙路260号龙山工业园B6栋3楼广州奥盛电子科技有限公司民营公司150-500人,渠道/分销专员销售代表渠道销售,龙洞迎龙路260号龙山工业园B6栋3楼
软件测试实习生,广东博成网络科技有限公司,2-3千/月,五险一金年终奖金绩效奖金,广州-天河区|无工作经验|大专|招5人|03-13发布,任职要求：1.计算机、软件工程、电子信息、物联网相关专业，欢迎应届毕业生2.熟悉测试理论和方法，并且能应用到具体的测试工作中。3.熟悉Java或C++编程语言4.熟悉oracle、MySQL、SQL其中一门数据库5.了解loadrunner或jmeter压力测试6、熟练office工具，擅长PPT制作优先。7、有智能家居测试、功能测试、性能测试经验的优先考虑全球通大厦广东博成网络科技有限公司民营公司50-150人,软件测试,全球通大厦
大客户销售 (六险 双休),长城宽带网络服务有限公司广州分公司,0.8-1万/月,五险一金员工旅游弹性工作年终奖金绩效奖金通讯补贴专业培训交通补贴周末双休高温补贴,广州-海珠区|无工作经验|大专|招5人|03-13发布,"1、针对企业、学校、医院、政府事业单位等大客户，提供专业的光纤专线接入、设备组网、IT外包服务等业务；2、需要具备挖掘客户需求、开拓新市场及行业大客户、独立完成销售工作及任务；3、针对新人，会提供系统的带薪就职培训。1、专科以上学历，市场营销、计算机或相关专业；（其他优秀可放宽条件）2、备良好的沟通协调、团队协作和抗压能力，营销/通信/网络等相关专业或有相关工作经验者优先,若无经验，可培养。3、有良好的团队合作能力，承压能力。1）薪酬待遇：底薪(3000)+绩效奖金+业绩提成（高提点+上不封顶）＋年终奖＋丰厚业绩奖金（工资总额3000~20000元）；2）员工福利：六险，高温补贴、通讯补贴、过节礼品、生日礼物、春节红包等多项福利；3）办公环境：独立卡座，配电脑、电话，公司有提供冰箱及微波炉等器具；4）员工活动：员工聚餐、节日晚会、旅游活动、趣味运动会、优秀员工表彰活动等等；5）培训发展：提供岗前、业务、技术、管理等多种专业培训，完备充分的晋升体系空间。周一至周五08:50~17:30周末双休广东省广州市海珠区礼岗路78号万星大厦6楼（江泰或昌岗地铁站）18320696393广东省广州市海珠区礼岗路78号万星大厦6楼（江泰或昌岗地铁站）长城宽带网络服务有限公司广州分公司上市公司10000人以上",大客户销售客户代表销售客户代表宽带网销面销电销渠道销售双休社保,广东省广州市海珠区礼岗路78号万星大厦6楼（江泰或昌岗地铁站）
项目助理,广东地球村计算机系统股份有限公司,2-3千/月,,广州-天河区|无工作经验|大专|招1人|03-13发布|计算机应用计算机网络,岗位职责：1、驻点项目完成该项目的支撑工作；2、完成项目会议的会务工作，包括撰写会议工作手册初稿、准备相关文件、撰写相关报告初稿；3、负责项目的运行信息采集、信息梳理、数据分析汇总等工作；4、配合撰写常规工作信息、会议通知纪要等。任职要求：1、大专及以上计算机类型专业；2、熟练使用office办公软件；3、高度的责任心和执行力，良好的沟通、协调能力；4、愿意主动学习、钻研，乐于分享；5、良好的团队精神，能够在协作中出色地完成工作。上班时间：9：00-12:0014:00-17:00（周末双休）南方人才市场广东地球村计算机系统股份有限公司民营公司1000-5000人,项目执行/协调人员项目支撑助理会务信息采集文稿撰写,南方人才市场
香格里拉酒店预订员+多种补贴+可年后上岗,广州点金网络科技有限公司,4.5-6千/月,做五休二弹性工作带薪年假五险一金包吃绩效奖金节日福利专业培训住房补贴交通补贴,广州-海珠区|无工作经验|大专|招10人|03-13发布|英语,【福利待遇】：1、免费入住全球香格里拉集团旗下酒店（广州除外）；2、薪资福利优厚，根据绩效考核，可每月领取提成，每年年底还有年终奖（3-5个月）；3、提供五险一金，公司还额外购买商业医疗保险，可报额度高达90%，让你无后顾之忧；4、豪华员工餐厅，提供每日2餐美味健康员工餐，让您在有“家”的感觉之余还要承受肥胖的压力；5、提供带薪年假12天，带薪病假12天。6、入职即可享受2个月的带薪培训机会。7、交通补贴+倒班床位+非广州市户籍的雇员可享受额外600元的住房补贴。注明：交通补贴+夜班补贴，上到凌晨0点班次的才会有。8、每年通过评估，10%以上的优秀员工将有机会到各国香格里拉酒店进行体验，了解各国的产品和卖点。【职位信息】：1、处理酒店的预订传真、邮件、旅行社电话预订及客人电话预订2、直属香格里拉酒店管理集团总部。3、回应客户的预订要求，提供贵宾金环会（香格里拉集团的忠实客人奖励计划）会员服务。4、努力将客户的每次咨询都转化为预订单；在第一次联络时就能迅速解决每位客户的问题。5、保持高标准的客户服务，提高客户满意度并留住客户。6、精通推荐客户预定的各方面工作，达到/超过关键绩效标准。7、主动向预订者推荐各酒店的设施和服务。【职位要求】：1、具备良好英语的沟通能力（书面、口语），具有良好的沟通技巧，英语能够达到中译英，英译中的水平），英文打字平均120/min。2、工作细致，诚实守信；具备良好的销售和倾听技巧，能够承担多项任务。3、工作时间灵活（需要轮班及周末工作；营运安排必要时，需安排夜班）。4、欢迎大专/本科应届毕业生求职者应聘，不限定专业，只需要你有愿意从事服务行业的热情及流利的语言能力。【薪资待遇】：薪资构成：底薪+绩效奖金+住房补贴（600/月，非广州籍户口）+交通补贴+包吃2餐+5险1金+12-16月薪+12天带薪年假+12天带薪病假。综合工资4500-6500元。【上班时间】：（轮班）8:00-24:00，8小时轮班工作制；（夜班）每月5次左右。月平均休息8天。(夜班结束后可在Staffrestroom休息到早上，有夜班补贴)。【试用期】：3个月，包含1个月的带薪培训期，培训期间9：00-18：00参训，周末固定双休。会展东路1号香格里拉酒店广州点金网络科技有限公司国企150-500人,大学/大专应届毕业生客服专员/助理酒店预订实习生英语,会展东路1号香格里拉酒店
商务/项目助理+双休+五险一金,广州信维电子科技股份有限公司,4-5千/月,周末双休带薪年假五险一金节日福利全勤奖绩效奖金餐饮补贴朝九晚六年度体检不定期旅游,广州-黄埔区|无工作经验|大专|招若干人|03-13发布|普通话良好|国际经济与贸易会计学,"（一）岗位职责：1、根据产品配置核算成本，并整理报价单给对应业务；2、根据市场价格变动，每周更新配件价格表；3、合同签订前的型号命名，协助各个业务出库处理；4、协助业务日常询价，了解货品的生产周期，市场行情等；5、完成上级领导安排的其他工作事宜。（二）任职要求：1、大专以上学历，计算机等相关专业；2、熟悉报价的基本流程，对数字敏感。3、能够熟练使用计算机、办公软件。4、具备一定的沟通能力及理解能力。5、有采购经验或计算机专业优先考虑6、欢迎优秀的应届毕业生投递。公司薪酬福利1.入职后购买五险一金；2.有竞争力的薪酬；3.奖励:全勤奖、年终奖、其他奖励等；4.餐费补贴、话费补贴、其他特殊补贴；5.员工体检、员工旅游、各类团体活动等；6.五天工作制，周一至周五：9：00-12:00,13:00-18:00；7.国家法定节假日放假，员工享有各类法定带薪休假；8.员工享有每年至少5天以上带薪年假；9.公司组织专业技能培训，员工享有带薪参与培训，高额奖励各类考证，10.广阔的发展空间：公司提供全方位的支持，为员工工作提供多方位的保障。只要您有工作的兴趣，只要您有成就个人事业的愿望，我们就能提供给您一个广阔和自由的空间，实现您的事业和生活追求。工作地址广州市天河区广州市天河区华景路1号南方通信大厦8楼科学城开源大道11号科技企业加速器A4栋4楼（上下班有公司班车接送）广州信维电子科技股份有限公司上市公司150-500人",商务助理销售行政助理商务专员成本核算销售助理商务助理,科学城开源大道11号科技企业加速器A4栋4楼（上下班有公司班车接送）
人事实习生,广州纳诺科技股份有限公司,2.5-3千/月,,广州-黄埔区|无工作经验|大专|招1人|03-13发布,协助处理人事方面常规性事务，包括：招聘、人事异动、员工档案管理等。1、性别不限，大专或以上学历，人力资源管理专业优先；3、具有较强的沟通、协调能力，积极主动、性格开朗、乐于接受挑战；4、具有较强的责任心和执行力、亲和力、学习能力、应变能力；5、有良好的团队合作精神，能够承担较强的工作压力；6、能进行招聘渠道、招聘效果的数据分析及问题分析，并提出有效解决方案；7、电脑操作熟练，熟悉excel、word等日常办公软件。早上9：00-下午5:30，周末双休，法定假照放。广州市黄埔区彩频路神州路绿地中央广场E栋1003彩频路神州路绿地中央广场E栋1003广州纳诺科技股份有限公司民营公司150-500人,人事助理人事实习生人事助理,彩频路神州路绿地中央广场E栋1003
现场管理智能化工程师,广东日月潭电源科技有限公司,2.5-3.5千/月,,广州-天河区|无工作经验|大专|招若干人|03-13发布,1、协助负责智能化弱电系统集成工程设计，如：安装施工弱电工程监控系统、门禁对讲系统、停车场、FTTH三网合一系统等现场技术施工作业；2、对相关产品熟悉，协助完成项目产品选型、标书和图纸设计、工程量计算及技术方案深化设计，设计、校对、审核工程施工图、竣工图；3、收集、整理、归档智能化产品的最新动向、技术资料和解决方案。4、具有计算机、通信网络、智能化综合布线及弱电系统理论知识和工程项目实施经验，熟悉弱电相关常见子系统，了解其他子系统；1.电气工程和自动化等相关专业，大专及以上应届生；2.具有良好的沟通协调能力；3.熟悉弱电图纸设计，弱电工程项目设计、施工管理的工作流程和规范，具备扎实的强弱电专业知识；熟悉智能工程规范、产品及相关技术，熟悉各种智能工程产品设备；4.能熟练应用专业知识处理现场技术问题，对施工现场管理技术支持有一定的经验优先；5.具有机电安装工程二级建造师证书优先。大观中路492号岭南科技中心附属二层小楼广东日月潭电源科技有限公司民营公司50-150人,智能大厦/综合布线/安防/弱电建筑工程管理/项目经理现场管理工程师,大观中路492号岭南科技中心附属二层小楼
结构工程师,讯强电子(惠州)有限公司,3-4.5千/月,,惠州|无工作经验|大专|招10人|03-13发布|模具设计与制造机械设计制造及其自动化,"1.大专以上学历，机械制造与设计、机电一体化、数控技术或模具设计相关专业；2.熟练运用CAD,Pro/E等绘图软件；仲恺高新区和畅东四路18号讯强电子（惠州）有限公司讯强电子(惠州)有限公司外资（非欧美）1000-5000人",结构工程师工业/产品设计CADPROE结构设计,仲恺高新区和畅东四路18号讯强电子（惠州）有限公司
Linux/嵌入式软件开发工程师,圣旺科技（广州）有限公司,4.5-6千/月,五险一金补充医疗保险员工旅游交通补贴餐饮补贴绩效奖金专业培训年终奖金,广州-越秀区|无工作经验|大专|招2人|03-13发布,"岗位要求：通信、计算机类专业；专科或本科以上；岗位职责:1、负责无线路由产品开源OPENWRT系统开发定制工作；2、编译OPENWRT开源系统及添加新的硬件平台支持，编写相应C源代码和SHELL编程。3、能够对路由固件系统进行裁剪和定制开发。4、根据特定硬件配置编译androidx86系统，能够对组件进行裁剪。5、参与软件需求、模块设计、编码、测试、生产应用中的相关问题定位解决。岗位要求:1、熟悉C/C++开发语言。2、有Linux嵌入式系统应用开发经验。3、熟悉Socket通信编程和路由协议；4、熟悉DDWRT、WAYOS、TOMATO相关系统等。5、熟悉Bash或Lua或者其他linux脚本语言。6、熟悉TCP/IP协议，对LinuxKernel、DNS、VPN、VLAN有着深入的了解,精通路由器QoS相关技术及其相关开发经验者优先；7、熟悉iptables，有编写过netfilter模块者优先素质要求：工作认真细致，能承受工作压力，具有良好的心态和团队精神。环市东路372号正佳环市中心22楼2201室（公寓办公室）圣旺科技（广州）有限公司民营公司50-150人",软件工程师高级软件工程师人工智能软件开发嵌入式LINUX智慧家居云计算,环市东路372号正佳环市中心22楼2201室（公寓办公室）
人力资源招聘实习岗,广州恒利信息科技有限公司,3-6千/月,,广州|无工作经验|大专|招5人|03-13发布,1、有效的维护并拓展招聘渠道；2、负责整个招聘进程、跟踪面试结果；3、人员招聘、留存的情况跟踪及分析、以便对招聘活动进行有效的评估；4、和候选人洽谈offer，跟踪入职；5、做好员工转正前的日常管理维系工作，协助本部及各部门相关工作；任职要求：1、中专以上学历，有IT公司软件工作招聘经验者优先；2、有非常强的责任心和自驱力，有快速、主动学习新技能的能力；3、性格开朗，有亲和力，热爱招聘工作；4、有一定的抗压能力；广州广州恒利信息科技有限公司合资50-150人,招聘专员/助理人事助理人力资源人事招聘,广州
实施工程师,尚阳科技股份有限公司,0.3-1万/月,,广州|无工作经验|大专|招若干人|03-13发布,岗位职责：1、负责项目的产品安装、调试、验收、培训、运维等工作；2、根据项目管理流程输出各环节相关文档，按时填写日报；3、负责客户满意度，以服务客户为理念，与客户进行顺畅、高效地沟通；任职要求：1、计算机或通信工程等相关专业专科以上学历，英语良好；2、两年以上系统集成行业工作经验，有大型的语音视频项目实施经验；3、精通思科CUCM、语音网关、IP电话的安装部署升级；4、精通思科MCU、CMS、视频终端安装部署配置；5、熟悉穿越服务器的安装部署配置；6、具备宝利通或华为视讯产品项目实施经验者优先；【为什么尚阳值得您加入】1.富有竞争力的薪酬待遇和优厚的福利体系，按规定购买五险一金；2.薪酬结构：基本底薪+绩效奖金+全勤奖，一年13薪+年终奖，每年1-2次调薪机会；3.工作时间：周一至周五9:00-12:00、13:30-18:00，按规定享受国家法定节假日、婚假、丧假、产假等带薪假期，工作满一年还有5天额外年假，年假还可以逐年累计哦；4.互联网特色的人性化管理：丰富的活动和关怀（各种节日补贴+年度体检+下午茶+生日会+不定期活动+旅游），我们提倡快乐工作、快乐生活、快乐成长；5.良好的晋升机会，公司正处高速发展期，只要你有能力，欢迎来挑战：技术方向：初级工程师——中级工程师——高级工程师——资深工程师；管理方向：主管——经理——高级经理——总监6、这是一个颠覆传统行业时代的机会，无办公室政治，只有一群简单、快乐、专注把事情做好的人。欢迎你的加入，我们都是尚阳人。广州市天河区华观路1933号万科云广场A栋610尚阳科技股份有限公司民营公司150-500人,技术支持/维护工程师,广州市天河区华观路1933号万科云广场A栋610
销售助理,广东惠群科技股份有限公司,2-3千/月,周末双休绩效奖金节日福利餐饮补贴带薪年假年终奖金,广州|无工作经验|大专|招4人|03-13发布,一、职位描述：1、负责政府采购网上的报价；2、公司商务资料的保管和整理，配合业务人员的招投标工作；3、销售合同及各类销售表单的分类保管与数据处理；4、协助销售人员处理好客户的来电及咨询事宜；5、协助部门经理做好部门会议记录、工作日志统计等工作；6、协助销售人员进行销售合同的审批传递性工作。任职要求：1.大学专科以上学历，20-26岁；2.具备高度的客户服务意识，能够承受业务拓展过程中的压力；3.思路清晰，良好的职业习惯及沟通表达能力；4.熟悉操作office软件。广州市天河区瘦狗岭路413号颐和中心A2栋2307室广东惠群科技股份有限公司民营公司少于50人,电话销售客户代表渠道销售客户代表,广州市天河区瘦狗岭路413号颐和中心A2栋2307室
外贸专员（客户专员）,广州市恺德仕贸易有限公司,5-8千/月,周末双休带薪年假五险一金,广州|无工作经验|大专|招若干人|03-13发布|英语精通,"MarketingAccountExecutive/客户专员MainResponsibilities主要职责:1)Respondtocustomers’enquiriesandupdateprogressontheenquirysystem回复客户询价并在询价系统上更新进展2)Preparequotationforapprovalswithanalysisofcostsandprofitability准备报价，成本和利润分析交上级审批3)Sendquotationtocustomers发送报价给客户4)Followupquotationandgeneralcorrespondenceonaregularbasisdependingonnecessities按需要定期跟进报价和客户通信5)Communicatewithcustomerforexistingprojectsandreleasethecustomerrequirementstointernaldepartment与客户就现有项目进行沟通并且向公司内部相关部门传达客户要求6)Sendweeklyproductiontimelinestocustomers发送每周生产时间表给客户7)Anyotherresponsibilitiesasinstructedbysuperiors其他上级委派的工作任务Qualifications任职资格:1)Majorininternationaltraderelatedarea国际贸易等相关专业2)ExcellentEnglishinbothwritten&spoken优秀的英语口语和书面表达能力3)BeabletouseMSWord,Excel,PPTandOutlook能操作电脑软件，如：MSWord,Excel,PPT和Outlook4)Beproactiveandresponsible,canworkunderpressure工作积极负责，能承受工作压力5)Goodcommunicationskillandteamworkattitude具有良好的沟通能力和团队合作态度越秀区广州市恺德仕贸易有限公司外资（欧美）50-150人","贸易/外贸专员/助理商务主管/专员customerservice,客户服务",越秀区
销售助理（实习）,杭州海康威视数字技术股份有限公司,100元/天,,广州-海珠区|无工作经验|大专|招若干人|03-13发布,1、合同制作、审核及归档，对纸质文件的原件以及传真件进行分类、编号、归档留存；2、处理项目授权事宜；协调物流送货、发货等相关事宜；3、上级安排的临时性工作。新港东路1166号环汇商业广场南塔7楼杭州海康威视数字技术股份有限公司上市公司10000人以上,销售行政助理,新港东路1166号环汇商业广场南塔7楼
Android开发工程师,东莞市金博网络科技有限公司,0.8-1.6万/月,,东莞-东城区|无工作经验|大专|招6人|03-13发布,5A级办公条件、靠地铁交通便利、临近万达商业圈、公司福利多多、美女如云、帅哥如雨(本公司在东城已经十年，出粮准时，办公氛围很好）岗位职责：1、负责Android平台的APP开发（如：浏览器开发、多媒体开发）。2、移植各种流行的框架体系（多媒体，蓝牙，无线）到android上3、负责Android项目的开发工作；4、负责Android项目的架构设计、方案的制定；5、跟进Android的新技术发展。编写设计开发及实现文档；6、根据产品功能需求设计并完成软件实现和参与产品需求分析并制定技术实施方案；7、熟悉Linux操作系统，熟悉c++/Java编程技术，掌握Android系统网络编程；8、具有J2ME或Java开发经验，熟悉ANDROID手机软件架构，熟悉Android平台MMI软件开发；9、要求熟悉ANDROID手机软件架构，精通ANDROID平台MMI软件开发，能独立进行应用程序开发和移植；10、计算机、通信、电子等相关专业本科以上学历，一年以上工作经验，优秀应届毕业生也可，有团队合作精神；公司福利：1、超长年假，平均年假（15-18天）；2、定期组织部门学习交流，培训会议；3、丰富多彩部门聚会，聚餐，游戏活动；4、定期的公司集体户外交友，旅游活动；5、年终精彩的文艺汇演活动；6、基本日常的社保，商业保险、生日福利、节日慰问物品、带薪休假、为员工提供教育培训机会东莞市东城区东城中路辉煌大厦D区7F-17号东莞市金博网络科技有限公司民营公司50-150人,软件工程师安卓,东莞市东城区东城中路辉煌大厦D区7F-17号
财务实习生,广州宇洪科技股份有限公司,2-3千/月,,广州-天河区|无工作经验|大专|招2人|03-13发布|会计学审计学,岗位职责1、费用类发票的整理、分类、计算等工作；2、财务凭单、凭据的整理装订和归档工作；3、日常财务的配合工作；4、完成领导交代的其他事宜。任职资格1、财务相关专业；2、熟练使用财务软件；3、良好的学习能力、独立工作能力和财务分析能力；4、工作细致，责任感强，良好的沟通能力、团队精神；5、一周可实习3天或者以上优先。广州市天河区软件园高唐园区软件路11号D栋4楼广州宇洪科技股份有限公司民营公司150-500人,财务助理/文员,广州市天河区软件园高唐园区软件路11号D栋4楼
销售实习生,广州人本电子科技有限公司,3-4.5千/月,五险一金带薪年假包住宿绩效奖金全勤奖节日福利专业培训交通补贴通讯补贴,广州|无工作经验|大专|招30人|03-13发布|普通话良好|市场营销电子商务,1、管理客户关系，完成销售任务；2、了解和发掘客户需求及购买愿望，介绍自己产品的优点和特色；3、对客户提供专业的咨询；4、收集潜在客户资料；任职要求：1、大专及以上学历，市场营销等相关专业优先考虑（优秀应届毕业生亦可）；2、性格外向、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；3、有团队意识，良好的客户服务意识，熟悉运用办公软件番禺区禺山大道西莲湖工业区一横路9号201B广州人本电子科技有限公司民营公司150-500人,销售代表,番禺区禺山大道西莲湖工业区一横路9号201B
外贸业务员 - 实习岗位同待遇(职位编号：PCB-101),广州和丰科技信息有限公司,3-4.5千/月,,广州-海珠区|无工作经验|大专|招3人|03-13发布|英语良好,1、掌握公司产品的各项专业知识和产品知识，了解整个产品的生产流程和品质要求，熟悉公司产品的优势；2、主动从各个渠道搜集客户信息，做为潜力客户进行开发，以Google、邮箱搜索、Facebook、Linkedin等；3、会筛选有效询盘，对询盘进行分析，整理成详细询价资料并跟进客户达成订单；任职要求：1、专业不限，男女不限，英语四级或以上；口语、笔译流畅2、能够熟练与客户在线沟通交流，独立处理外贸商务函电及与外国客户直接沟通者优先外贸业务及跟单流程，熟悉阿里巴巴等B2B等电子商务平台优先考虑3、具良好的谈判技巧及团队合作精神4、高情商，性格开朗，细心，严谨，勤奋，责任心强，沟通及协调能力佳；能在压力下工作5、实习岗位同待遇，即使无经验，但是如果你的学习能力强，悟性高，我们愿意教你，和你一起成长！梅园西路积优石榴仓创意库【距离地铁8号线-凤凰新村站600米】广州和丰科技信息有限公司创业公司少于50人,贸易/外贸专员/助理市场/营销/拓展专员外贸业务员外贸专员外贸销售手机配件手机液晶屏幕,梅园西路 积优石榴仓 创意库【距离地铁8号线-凤凰新村站 600米】
Andriod开发工程师,珠海灏霆软件有限公司,0.6-1万/月,周末双休五险年终奖金,珠海-香洲区|无工作经验|大专|招2人|03-13发布,1.一年左右的开发经验，如果个人能力较强可以不受此限制2.有实际手机App项目开发经验3.良好的面向对象的思想，熟练掌握Java4.熟悉Android应用开发框架、AndroidSDK，有Android平台开发经验者优先5.具有良好的多线程、Socket通信编程经验者优先；6.工作勤奋，善于思考问题；若為應屆畢業生：1.应届毕业生，计算机相关专业2.自学能力强，服从公司工作安排3.良好的面向对象的思想。4.热爱软件行业，具有良好的沟通能力与协作能力5.责任心强，敢于挑战新技术6.工作勤奋，善于思考问题跨境工业区利时大厦3楼A1珠海灏霆软件有限公司外资（非欧美）少于50人,软件工程师高级软件工程师Andriod开发系统工程师数据编码工程师通信编程,跨境工业区利时大厦3楼A1
安装工程师,广州锐迪医疗仪器有限公司,3-4.5千/月,绩效奖金专业培训定期体检员工旅游,广州|无工作经验|大专|招若干人|03-12发布|普通话|电子信息科学与技术临床医学与医学技术,广州市科学城广州锐迪医疗仪器有限公司民营公司少于50人,其他周末双休带薪年假交通补助出差补贴话补,广州市科学城
空调维护工程师实习生,广州飞谷电子技术服务有限公司,2.4-3千/月,,广州-天河区|无工作经验|大专|招3人|03-12发布,岗位职责：1.客户技术支持、现场设备巡检维修、，工程安装、督导、调试2.及时向客户和上级汇报任何工作状况3.按规范提交所负责事物的相关记录表、报告以及上站照片4.做好工具及上站备件的申请及保管工作5.协助部门主管完善技术改进问题6.协助上级完成该项目的周、月、季、年报表以及总结报告7.完成领导交办的其他工作职位要求：1.制冷或机电类专业2.熟悉机房精密空调维护的相关要求3.有责任心，有良好的动手能力，能够与客户良好沟通协调4.有制冷证、电工证、焊工证者优先5.公司为实习生提供宿舍东圃购物中心B座商务区2105室广州飞谷电子技术服务有限公司民营公司50-150人,通信技术工程师空调维护维修,东圃购物中心B座商务区2105室
实习弱电工程师,广东微能智能系统集成开发有限公司,4.5-6千/月,五险一金弹性工作交通补贴,东莞-东城区|无工作经验|大专|招2人|03-12发布,东莞大道19号卡布斯国际广场A座604广东微能智能系统集成开发有限公司民营公司50-150人,通信技术工程师,东莞大道19号卡布斯国际广场A座604
软件助理工程师,佛山市南华仪器股份有限公司,0.5-1万/月,,佛山-南海区|无工作经验|大专|招5人|03-12发布,1、使用C++编程语言，配合公司产品和用户需求，在原系统基础上进行软件的二次开发。2、查找修正软件BUG，完成产品及项目的日常维护及其他专项工作。3、协助工程技术部处理系统技术难题。1、大专及以上学历，计算机、通信、软件工程等相关专业；2、掌握C/C++语言程序设计、能熟练运用SQL，熟悉Microsoft/Oracle数据库、具有网络维护工作者优先；3、具有良好的软件工程知识，熟悉操作系统原理，常用数据库基本操作操作；4、具有良好的执行能力、学习能力、沟通能力；5、意向软件技术服务工作，愿意接受短期出差工作。佛山市南海区桂城街道三山科泓路1号佛山市南华仪器股份有限公司上市公司150-500人,软件工程师,佛山市南海区桂城街道三山科泓路1号
文员/助理,广东家国天下科技有限公司,2.5-3.5千/月,做五休二周末双休带薪年假节日福利高温补贴,广州-海珠区|无工作经验|大专|招若干人|03-12发布,1、协助设计完成设计相关合同订单的签订、结算等文职工作；2、跟进回款的进度，职位要求：1、大专以上学历，专业不限，对office软件操作熟练；2、广州市海珠区海珠科技琶业园海诚西街7号501房广东家国天下科技有限公司民营公司50-150人,其他设计助理文员,广州市海珠区海珠科技琶业园海诚西街7号501房
助理客户经理（实习）,高威电信（广州）有限公司,3.5-6千/月,周末双休带薪年假五险一金节日福利,广州-越秀区|无工作经验|大专|招1人|03-12发布|英语良好,基本职责：－协助管理和拓展相关行业内的客户，完成销售目标－与厂家维持良好关系技能要求：－欢迎应届毕业生应聘－性格积极主动，善于沟通，富于团队合作精神－英语读写说能力良好(英语四级或以上优先考虑)寺右新马路108号丰伟大厦A栋27楼高威电信（广州）有限公司外资（非欧美）150-500人,销售助理,寺右新马路108号丰伟大厦A栋27楼
